,_sa_instance_state,datetime,text,tweet_id,id,username
1713,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86580>,10/12/2022,@Tan_Mar3M Lho La Nyalla itu kayaknya didukung kado Capres by Bu @Lisaamartatara4  kok malah minta Jokowi 3 periode.,1601627598530174981,1714,AsamDaun
1714,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a865e0>,10/12/2022,@mas_taqien @Aku_MohArwani @gibran_tweet Goblok kok d piara drun. Punya mata yg. Gk picek. Telinga gk tuli otak gk busuk dalam kan ??  Jlas2 p.jokowi udah nolak 3 periode.. mabuk pipis onta jgn main hp ntr jarimu kesleo kyk otakmu 🤣🤣🤣,1601621450619637760,1715,JavanggaP
1715,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86640>,10/12/2022,@soeyoto1 Pokonya jokowi 3 periode katanya,1601608657002987520,1716,KSariade
1716,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a866a0>,10/12/2022,"@AdrianneSerlo Tak terhitung jumlahnya Jokowi mengatakan dalam berbagai kesempatan bhw Jokowi sangat menghormati konstitusi, menolak wacana 3 periode.  Namun Kadrun dna medianya secara terus menerus menggoreng isu ini, karena mereka smaa sekali tak memiliki isi lain.",1601606677325045760,1717,NusBhisma
1717,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86700>,10/12/2022,@IMCMushroom Jangankan elit.rakyat juga menghendaki.jokowi presidenku.3.periode.titik,1601606165548310529,1718,sitleryos
1718,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86760>,10/12/2022,"Isu 3 periode kembali digemakan. Gagasan ini awalnya dilontarkan oleh ketua MPR, Bambang Soesatyo.  Isu ini sebenarnya sudah mulai muncul sejak tahun 2019, Presiden @jokowi  sering kali mengomentari perihal hal ini.  Apa aja sih komentarnya?? https://t.co/UBUkrhiwaM",1601605682590990336,1719,inilahdotcom
1719,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a867c0>,10/12/2022,@CNNIndonesia Yang penting jokowi 3 periode,1601600872546390017,1720,nurfajar_banser
1720,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86820>,10/12/2022,"Dorong Agenda Jokowi 3 Periode, Zein Assegaf Yakin Jokowi Lebih Baik dari SBY https://t.co/Lj1UfyI27Q",1601599167536988161,1721,RepelitaO
1721,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86880>,10/12/2022,@mas_taqien @yoyo07849568 @zoldyk45 @yuliusindro @Aku_MohArwani @gibran_tweet Jokowi ga usah ngusulin itu juga udah jd presiden 2 periode. Toh anda juga ga suka sama Jokowi kan? Nanti klo dia ngusulin itu anda jd dukung 3 periode lagi. Jangan ah. Bagusan capres dan partai yang anda dukung aja suruh usulin. Nanti saya ikut dukung pilihan mas nya.,1601597191340314625,1722,djuna_jr
1722,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a868e0>,10/12/2022,@AriyonoL Salah 1 kegagalan @jokowi  adalah mencerdaskan kadrun🤭🤭🤭 #Jokowi3Periode biar saya bahagia,1601592188772630528,1723,ParwantoAgus2
1723,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3a86940>,10/12/2022,@musniumar @inilahdotcom Saya juga dukung Jokowi 3 periode  Ape loe,1601588151004237824,1724,Gi_N0ng
